Time, Pressure, T_Int F, T_Ext F, Altitude f, Vin, AD0, AD1, AD2
118, 1007.53, 50.36, 50.0, 156, 8.344, 3.022, 3.038, 3.200
119, 1007.52, 50.39, 50.0, 156, 8.331, 2.980, 2.926, 3.080
120, 1007.50, 50.41, 50.0, 157, 8.331, 3.029, 3.051, 3.193
121, 1007.47, 50.43, 50.0, 158, 8.331, 3.006, 2.955, 3.122
122, 1007.35, 50.45, 50.0, 161, 8.344, 3.045, 3.074, 3.177
123, 1007.38, 50.48, 50.0, 160, 8.344, 3.013, 3.019, 3.125
124, 1007.34, 50.52, 50.0, 161, 8.344, 2.993, 3.071, 3.135
125, 1007.39, 50.54, 50.0, 160, 8.331, 3.026, 2.964, 3.212
126, 1007.39, 50.55, 50.0, 160, 8.331, 3.006, 3.006, 3.132
127, 1007.39, 50.57, 49.8, 160, 8.331, 3.000, 2.997, 3.016
128, 1007.39, 50.59, 50.0, 160, 8.331, 2.955, 2.890, 3.058
129, 1007.39, 50.57, 49.8, 160, 8.331, 2.955, 2.861, 3.064
130, 1007.38, 50.57, 49.8, 160, 8.344, 3.019, 2.877, 3.216
131, 1007.39, 50.59, 49.8, 160, 8.331, 2.935, 2.868, 3.045
132, 1007.38, 50.59, 49.6, 160, 8.331, 2.935, 2.768, 3.109
133, 1007.38, 50.61, 49.8, 160, 8.331, 2.935, 2.835, 3.125
134, 1007.39, 50.61, 49.6, 160, 8.331, 2.910, 2.826, 3.084
135, 1007.39, 50.61, 49.8, 160, 8.318, 2.858, 2.742, 3.019
136, 1007.38, 50.61, 49.6, 160, 8.318, 2.916, 2.839, 3.135
137, 1007.39, 50.63, 49.6, 160, 8.318, 2.852, 2.748, 3.061
138, 1007.40, 50.61, 49.6, 160, 8.318, 2.845, 2.755, 3.045
139, 1007.40, 50.61, 49.6, 160, 8.318, 2.852, 2.784, 3.058
140, 1007.40, 50.61, 49.6, 160, 8.305, 2.845, 2.774, 3.058
141, 1007.39, 50.63, 49.6, 160, 8.318, 2.881, 2.893, 3.171
142, 1007.39, 50.63, 49.6, 160, 8.318, 2.877, 2.826, 3.196
143, 1007.39, 50.64, 49.6, 160, 8.318, 2.877, 2.839, 3.200
144, 1007.39, 50.64, 49.6, 160, 8.318, 2.839, 2.897, 3.074
145, 1007.39, 50.66, 49.6, 160, 8.305, 2.839, 2.890, 3.051
146, 1007.40, 50.66, 49.6, 160, 8.318, 2.864, 2.813, 3.106
147, 1007.38, 50.64, 49.4, 160, 8.318, 2.861, 2.819, 3.132
148, 1007.38, 50.64, 49.4, 160, 8.305, 2.845, 2.903, 3.090
149, 1007.39, 50.68, 49.4, 160, 8.305, 2.861, 2.832, 3.116
150, 1007.38, 50.68, 49.4, 160, 8.305, 2.864, 2.826, 3.135
151, 1007.37, 50.68, 49.2, 160, 8.305, 2.861, 2.916, 3.132
152, 1007.39, 50.70, 49.2, 160, 8.318, 2.861, 2.913, 3.122
153, 1007.38, 50.72, 49.2, 160, 8.305, 2.819, 2.826, 3.058
154, 1007.34, 50.73, 49.2, 161, 8.305, 2.826, 2.832, 3.058
155, 1007.32, 50.73, 49.2, 162, 8.288, 2.826, 2.839, 3.045
156, 1007.34, 50.75, 49.2, 161, 8.305, 2.823, 2.832, 3.042
157, 1007.34, 50.77, 49.2, 161, 8.288, 2.839, 2.842, 3.071
158, 1007.35, 50.77, 49.2, 161, 8.288, 2.832, 2.835, 3.064
159, 1007.37, 50.79, 49.2, 160, 8.288, 2.832, 2.845, 3.064
160, 1007.42, 50.79, 49.2, 159, 8.288, 2.832, 2.839, 3.067
161, 1007.45, 50.79, 49.2, 158, 8.288, 2.910, 2.935, 3.161
162, 1007.46, 50.81, 49.1, 158, 8.288, 2.906, 2.916, 3.174
163, 1007.46, 50.82, 49.1, 158, 8.288, 2.897, 2.955, 3.177
164, 1007.48, 50.84, 49.1, 158, 8.288, 2.842, 2.826, 3.103
165, 1007.48, 50.86, 49.1, 158, 8.288, 2.903, 2.890, 3.238
166, 1007.49, 50.88, 49.1, 157, 8.288, 2.948, 3.042, 3.177
167, 1007.49, 50.90, 48.9, 157, 8.288, 2.968, 3.071, 3.209
168, 1007.50, 50.90, 48.9, 157, 8.288, 2.968, 3.051, 3.200
169, 1007.46, 50.91, 48.9, 158, 8.288, 2.974, 3.067, 3.196
170, 1007.45, 50.93, 48.9, 158, 8.288, 2.980, 3.077, 3.206
171, 1007.48, 50.95, 48.7, 158, 8.275, 3.006, 3.100, 3.206
172, 1007.46, 51.00, 48.7, 158, 8.275, 3.006, 3.096, 3.200
173, 1007.48, 51.02, 48.7, 158, 8.288, 3.006, 3.096, 3.200
174, 1007.47, 51.00, 48.7, 158, 8.288, 2.997, 3.013, 3.212
175, 1007.45, 50.99, 48.7, 158, 8.275, 2.948, 2.968, 3.067
176, 1007.47, 50.97, 48.7, 158, 8.288, 2.929, 2.945, 3.067
177, 1007.42, 50.99, 48.5, 159, 8.275, 2.910, 2.910, 3.071
178, 1007.49, 50.99, 48.7, 157, 8.275, 2.903, 2.910, 3.071
179, 1007.47, 51.00, 48.7, 158, 8.275, 2.910, 2.913, 3.071
180, 1007.49, 50.99, 48.7, 157, 8.275, 2.910, 2.932, 3.077
181, 1007.47, 50.99, 48.5, 158, 8.288, 2.913, 2.935, 3.077
182, 1007.37, 51.02, 48.5, 160, 8.275, 2.922, 2.942, 3.080
183, 1007.44, 51.02, 48.5, 159, 8.275, 2.964, 3.019, 3.161
184, 1007.45, 51.04, 48.3, 158, 8.262, 2.968, 3.019, 3.109
185, 1007.49, 51.06, 48.5, 157, 8.262, 2.951, 2.980, 3.142
186, 1007.50, 51.09, 48.5, 157, 8.262, 2.968, 2.926, 3.235
187, 1007.52, 51.15, 48.3, 156, 8.262, 2.948, 2.939, 3.151
188, 1007.53, 51.18, 48.3, 156, 8.262, 3.000, 2.993, 3.225
189, 1007.54, 51.24, 48.3, 156, 8.262, 3.000, 2.977, 3.209
190, 1007.52, 51.27, 48.3, 156, 8.262, 2.993, 3.026, 3.148
191, 1007.53, 51.31, 48.3, 156, 8.262, 2.977, 3.096, 3.045
192, 1007.49, 51.35, 48.3, 157, 8.262, 3.019, 3.200, 3.096
193, 1007.47, 51.33, 48.2, 158, 8.262, 2.961, 3.074, 2.968
194, 1007.46, 51.35, 48.2, 158, 8.262, 2.980, 3.090, 2.993
195, 1007.49, 51.36, 48.2, 157, 8.262, 2.964, 3.090, 2.977
196, 1007.48, 51.42, 48.2, 158, 8.262, 3.019, 3.161, 2.977
197, 1007.46, 51.42, 48.2, 158, 8.262, 3.006, 3.142, 2.890
198, 1007.47, 51.40, 48.2, 158, 8.262, 3.013, 3.183, 2.968
199, 1007.46, 51.42, 48.2, 158, 8.262, 2.942, 3.103, 2.903
200, 1007.45, 51.42, 48.2, 158, 8.262, 2.968, 3.167, 2.874
201, 1007.39, 51.42, 48.2, 160, 8.262, 2.977, 3.154, 2.932
202, 1007.40, 51.44, 48.2, 160, 8.262, 3.003, 3.064, 3.096
203, 1007.43, 51.45, 48.2, 159, 8.262, 3.016, 2.955, 3.200
204, 1007.45, 51.49, 48.0, 158, 8.262, 3.006, 2.929, 3.119
205, 1007.45, 51.53, 48.0, 158, 8.262, 2.968, 3.058, 3.016
206, 1007.44, 51.54, 48.0, 159, 8.262, 3.006, 3.109, 3.071
207, 1007.47, 51.56, 48.0, 158, 8.262, 2.993, 3.103, 3.084
208, 1007.48, 51.60, 48.0, 158, 8.249, 3.003, 3.067, 3.071
209, 1007.47, 51.62, 48.0, 158, 8.262, 3.013, 3.174, 3.071
210, 1007.48, 51.65, 47.8, 158, 8.262, 3.016, 3.161, 3.045
211, 1007.45, 51.67, 47.8, 158, 8.262, 2.977, 3.055, 2.980
212, 1007.45, 51.63, 47.8, 158, 8.262, 2.993, 3.071, 3.132
213, 1007.45, 51.62, 47.8, 158, 8.262, 3.006, 2.955, 3.119
214, 1007.47, 51.62, 47.8, 158, 8.262, 3.038, 2.977, 3.219
215, 1007.49, 51.65, 47.8, 157, 8.262, 3.032, 2.948, 3.196
216, 1007.46, 51.69, 47.8, 158, 8.249, 2.948, 2.826, 3.064
217, 1007.44, 51.69, 47.8, 159, 8.249, 2.980, 2.916, 3.142
218, 1007.46, 51.74, 47.6, 158, 8.249, 2.980, 2.916, 3.116
219, 1007.47, 51.78, 47.6, 158, 8.236, 2.993, 2.852, 3.219
220, 1007.47, 51.80, 47.6, 158, 8.249, 2.993, 2.877, 3.200
221, 1007.43, 51.81, 47.6, 159, 8.262, 2.990, 3.000, 3.125
222, 1007.46, 51.85, 47.6, 158, 8.236, 3.009, 3.116, 3.145
223, 1007.44, 51.85, 47.4, 159, 8.236, 3.019, 3.125, 3.129
224, 1007.45, 51.87, 47.4, 158, 8.249, 3.003, 3.084, 3.109
225, 1007.37, 51.87, 47.4, 160, 8.236, 3.032, 3.177, 3.161
226, 1007.26, 51.87, 47.4, 163, 8.236, 2.964, 3.038, 3.019
227, 1007.30, 51.90, 47.4, 162, 8.236, 2.993, 3.003, 3.103
228, 1007.48, 51.92, 47.4, 158, 8.249, 3.058, 3.113, 3.187
229, 1007.51, 51.94, 47.4, 157, 8.236, 3.035, 3.113, 3.151
230, 1007.46, 51.98, 47.4, 158, 8.262, 2.968, 3.058, 3.038
231, 1007.44, 51.99, 47.4, 159, 8.236, 2.961, 3.084, 2.980
232, 1007.47, 52.01, 47.4, 158, 8.236, 2.980, 3.161, 2.942
233, 1007.45, 52.03, 47.6, 158, 8.236, 2.980, 3.161, 2.913
234, 1007.45, 52.05, 47.6, 158, 8.236, 2.993, 3.058, 3.003
235, 1007.46, 52.07, 47.4, 158, 8.236, 2.968, 3.035, 2.903
236, 1007.46, 52.10, 47.6, 158, 8.236, 2.993, 3.116, 2.955
237, 1007.46, 52.12, 47.6, 158, 8.236, 2.980, 3.084, 2.890
238, 1007.45, 52.14, 47.6, 158, 8.236, 3.016, 3.154, 3.022
239, 1007.46, 52.14, 47.6, 158, 8.236, 3.019, 3.096, 3.113
240, 1007.44, 52.16, 47.6, 159, 8.236, 2.968, 3.026, 2.948
241, 1007.43, 52.17, 47.6, 159, 8.236, 3.026, 3.138, 3.058
242, 1007.43, 52.19, 47.6, 159, 8.236, 3.029, 3.161, 3.058
243, 1007.41, 52.21, 47.6, 159, 8.236, 3.019, 3.045, 3.113
244, 1007.42, 52.23, 47.6, 159, 8.236, 3.000, 2.906, 3.138
245, 1007.41, 52.25, 47.8, 159, 8.236, 3.019, 2.890, 3.212
246, 1007.41, 52.26, 47.8, 159, 8.236, 2.993, 2.929, 3.187
247, 1007.43, 52.28, 47.8, 159, 8.236, 2.980, 3.013, 3.148
248, 1007.44, 52.28, 47.8, 159, 8.236, 2.955, 2.968, 3.161
249, 1007.42, 52.30, 47.8, 159, 8.236, 2.964, 3.032, 3.200
250, 1007.41, 52.34, 48.0, 159, 8.236, 2.961, 3.042, 3.196
251, 1007.41, 52.35, 48.0, 159, 8.236, 2.916, 2.929, 3.100
252, 1007.38, 52.35, 47.8, 160, 8.236, 2.948, 2.968, 3.132
253, 1007.41, 52.37, 47.8, 159, 8.236, 2.913, 3.016, 3.084
254, 1007.37, 52.39, 47.8, 160, 8.219, 2.935, 3.058, 3.103
255, 1007.38, 52.41, 47.8, 160, 8.236, 2.968, 3.000, 3.238
256, 1007.38, 52.43, 47.8, 160, 8.236, 2.958, 2.980, 3.119
257, 1007.37, 52.43, 48.0, 160, 8.236, 2.993, 3.006, 3.225
258, 1007.33, 52.46, 48.0, 162, 8.236, 2.993, 3.077, 3.206
259, 1007.24, 52.48, 48.0, 164, 8.206, 2.964, 3.000, 3.122
260, 1007.15, 52.52, 48.2, 166, 8.236, 3.019, 3.109, 3.212
261, 1007.26, 52.48, 48.2, 163, 8.206, 2.987, 2.980, 3.048
262, 1006.99, 52.46, 48.2, 171, 8.206, 2.955, 3.019, 3.167
263, 1007.16, 52.50, 48.2, 166, 8.219, 2.942, 2.935, 3.212
264, 1007.14, 52.55, 48.2, 167, 8.219, 2.913, 3.013, 3.154
265, 1006.34, 52.55, 48.0, 189, 8.206, 2.916, 2.903, 3.142
266, 1005.86, 52.70, 48.2, 202, 8.219, 2.932, 2.990, 3.196
267, 1006.24, 52.79, 48.2, 191, 8.206, 2.910, 2.887, 3.113
268, 1006.26, 52.88, 48.2, 191, 8.206, 2.955, 3.006, 3.212
269, 1005.96, 52.93, 48.2, 199, 8.219, 2.916, 2.993, 3.109
270, 1006.94, 52.97, 48.2, 172, 8.206, 2.926, 3.000, 3.113
271, 1007.19, 52.84, 48.2, 165, 8.206, 2.903, 2.877, 3.135
272, 1007.19, 52.77, 48.2, 165, 8.206, 2.890, 2.955, 3.132
273, 1007.32, 52.73, 48.2, 162, 8.206, 2.890, 2.864, 3.138
274, 1007.53, 52.71, 48.2, 156, 8.206, 2.903, 2.993, 3.174
275, 1007.47, 52.70, 48.2, 158, 8.206, 2.864, 2.874, 3.093
276, 1007.47, 52.70, 48.2, 158, 8.206, 2.916, 3.006, 3.164
277, 1007.46, 52.71, 48.2, 158, 8.206, 2.842, 2.897, 3.067
278, 1007.48, 52.71, 48.2, 158, 8.206, 2.913, 3.019, 3.190
279, 1007.46, 52.73, 48.2, 158, 8.206, 2.890, 2.993, 3.142
280, 1007.50, 52.73, 48.2, 157, 8.206, 2.906, 2.929, 3.161
281, 1007.49, 52.75, 48.2, 157, 8.206, 2.929, 3.032, 3.209
282, 1007.49, 52.75, 48.2, 157, 8.206, 2.874, 2.910, 3.116
283, 1007.49, 52.75, 48.2, 157, 8.206, 2.935, 3.019, 3.196
284, 1007.50, 52.77, 48.2, 157, 8.206, 2.858, 2.903, 3.122
285, 1007.49, 52.79, 48.2, 157, 8.206, 2.887, 2.980, 3.148
286, 1007.49, 52.79, 48.2, 157, 8.206, 2.903, 2.926, 3.158
287, 1007.50, 52.79, 48.2, 157, 8.206, 2.942, 3.029, 3.200
288, 1007.49, 52.79, 48.2, 157, 8.206, 2.935, 3.032, 3.203
289, 1007.50, 52.80, 48.0, 157, 8.206, 2.881, 2.916, 3.116
290, 1007.50, 52.80, 48.2, 157, 8.206, 2.942, 3.029, 3.187
291, 1007.50, 52.80, 48.0, 157, 8.206, 2.929, 3.026, 3.161
292, 1007.49, 52.82, 48.2, 157, 8.206, 2.903, 2.929, 3.161
293, 1007.48, 52.82, 48.2, 158, 8.206, 2.922, 3.026, 3.161
294, 1007.48, 52.82, 48.2, 158, 8.206, 2.916, 2.942, 3.167
295, 1007.50, 52.84, 48.2, 157, 8.206, 2.890, 2.942, 3.109
296, 1007.51, 52.84, 48.2, 157, 8.206, 2.935, 3.032, 3.171
297, 1007.48, 52.84, 48.2, 158, 8.206, 2.890, 2.942, 3.103
298, 1007.49, 52.86, 48.2, 157, 8.206, 2.935, 3.038, 3.174
299, 1007.49, 52.86, 48.2, 157, 8.206, 2.910, 2.942, 3.171
300, 1007.49, 52.86, 48.2, 157, 8.206, 2.913, 3.038, 3.158
301, 1007.50, 52.88, 48.2, 157, 8.206, 2.926, 2.968, 3.177
302, 1007.49, 52.88, 48.2, 157, 8.206, 2.955, 3.058, 3.212
303, 1007.49, 52.89, 48.2, 157, 8.206, 2.900, 2.935, 3.122
304, 1007.50, 52.88, 48.2, 157, 8.206, 2.935, 3.038, 3.174
305, 1007.48, 52.89, 48.2, 158, 8.206, 2.929, 2.964, 3.174
306, 1007.48, 52.91, 48.0, 158, 8.206, 2.942, 2.958, 3.203
307, 1007.47, 52.91, 48.0, 158, 8.206, 2.929, 2.974, 3.174
308, 1007.49, 52.93, 48.0, 157, 8.206, 2.964, 3.071, 3.219
309, 1007.49, 52.93, 48.2, 157, 8.206, 2.903, 2.935, 3.116
310, 1007.48, 52.93, 48.2, 158, 8.193, 2.964, 3.061, 3.183
311, 1007.49, 52.95, 48.0, 157, 8.206, 2.948, 3.064, 3.174
312, 1007.49, 52.95, 48.2, 157, 8.206, 2.922, 2.955, 3.164
313, 1007.48, 52.95, 48.2, 158, 8.193, 2.922, 2.955, 3.116
314, 1007.48, 52.97, 48.2, 158, 8.206, 2.897, 2.951, 3.100
315, 1007.47, 52.97, 48.2, 158, 8.206, 2.929, 2.961, 3.116
316, 1007.48, 52.98, 48.2, 158, 8.193, 2.974, 3.084, 3.193
317, 1007.48, 52.98, 48.2, 158, 8.206, 2.929, 3.058, 3.106
318, 1007.47, 53.00, 48.2, 158, 8.206, 2.935, 2.964, 3.225
319, 1007.49, 53.00, 48.2, 157, 8.206, 2.942, 3.058, 3.174
320, 1007.48, 53.00, 48.2, 158, 8.193, 2.955, 3.000, 3.174
321, 1007.47, 52.98, 48.2, 158, 8.193, 2.961, 2.987, 3.206
322, 1007.46, 53.02, 48.2, 158, 8.206, 2.955, 3.058, 3.119
323, 1007.48, 53.02, 48.2, 158, 8.206, 2.948, 2.974, 3.203
324, 1007.49, 53.04, 48.2, 157, 8.206, 2.948, 2.980, 3.164
325, 1007.47, 53.04, 48.2, 158, 8.193, 2.955, 3.045, 3.196
326, 1007.48, 53.06, 48.2, 158, 8.193, 2.968, 3.064, 3.209
327, 1007.47, 53.06, 48.2, 158, 8.206, 2.910, 2.987, 3.096
328, 1007.47, 53.07, 48.2, 158, 8.193, 2.955, 2.977, 3.229
329, 1007.47, 53.07, 48.2, 158, 8.193, 2.935, 3.051, 3.158
330, 1007.48, 53.07, 48.2, 158, 8.193, 2.916, 2.968, 3.093
331, 1007.47, 53.09, 48.2, 158, 8.193, 2.993, 3.077, 3.206
332, 1007.46, 53.09, 48.2, 158, 8.193, 2.906, 2.964, 3.096
333, 1007.48, 53.11, 48.2, 158, 8.193, 2.948, 2.980, 3.222
334, 1007.46, 53.11, 48.2, 158, 8.206, 2.955, 2.993, 3.174
335, 1007.47, 53.13, 48.2, 158, 8.193, 2.955, 3.071, 3.212
336, 1007.47, 53.13, 48.2, 158, 8.193, 2.977, 3.071, 3.209
337, 1007.48, 53.15, 48.2, 158, 8.193, 2.887, 2.984, 3.096
338, 1007.45, 53.15, 48.2, 158, 8.193, 2.935, 2.968, 3.232
339, 1007.47, 53.15, 48.2, 158, 8.193, 2.980, 3.100, 3.206
340, 1007.47, 53.16, 48.2, 158, 8.193, 2.980, 3.084, 3.212
341, 1007.46, 53.16, 48.2, 158, 8.180, 2.993, 3.084, 3.196
342, 1007.48, 53.18, 48.2, 158, 8.193, 2.935, 3.058, 3.103
343, 1007.47, 53.20, 48.2, 158, 8.206, 2.942, 2.980, 3.209
344, 1007.46, 53.20, 48.2, 158, 8.193, 2.935, 2.980, 3.171
345, 1007.46, 53.20, 48.0, 158, 8.193, 2.916, 2.955, 3.116
346, 1007.48, 53.22, 48.0, 158, 8.193, 2.968, 3.071, 3.187
347, 1007.48, 53.22, 48.2, 158, 8.193, 2.961, 2.993, 3.174
348, 1007.46, 53.22, 48.2, 158, 8.180, 2.929, 2.964, 3.116
349, 1007.47, 53.24, 48.2, 158, 8.180, 2.974, 3.093, 3.212
350, 1007.46, 53.25, 48.2, 158, 8.193, 2.935, 2.968, 3.119
351, 1007.46, 53.25, 48.2, 158, 8.180, 2.903, 2.955, 3.096
352, 1007.47, 53.27, 48.2, 158, 8.180, 2.955, 2.980, 3.225
353, 1007.43, 53.27, 48.0, 159, 8.193, 2.961, 2.997, 3.177
354, 1007.43, 53.27, 48.0, 159, 8.180, 2.968, 3.084, 3.209
355, 1007.44, 53.29, 48.0, 159, 8.180, 2.987, 3.077, 3.196
356, 1007.43, 53.29, 48.0, 159, 8.193, 2.987, 3.084, 3.206
357, 1007.44, 53.31, 47.8, 159, 8.180, 2.968, 3.071, 3.200
358, 1007.44, 53.31, 47.8, 159, 8.180, 2.980, 3.084, 3.187
359, 1007.46, 53.33, 48.0, 158, 8.180, 2.942, 3.071, 3.135
360, 1007.44, 53.33, 47.8, 159, 8.180, 2.935, 3.058, 3.161
361, 1007.45, 53.34, 47.8, 158, 8.180, 2.974, 3.084, 3.209
362, 1007.45, 53.34, 47.8, 158, 8.180, 2.935, 2.968, 3.119
363, 1007.46, 53.36, 48.0, 158, 8.180, 2.916, 2.974, 3.096
364, 1007.46, 53.36, 48.0, 158, 8.180, 2.955, 2.977, 3.216
365, 1007.44, 53.36, 48.0, 159, 8.180, 2.993, 3.109, 3.187
366, 1007.45, 53.38, 48.0, 158, 8.180, 2.935, 2.997, 3.125
367, 1007.45, 53.38, 48.0, 158, 8.180, 2.916, 3.013, 3.093
368, 1007.44, 53.40, 48.0, 159, 8.180, 2.955, 3.074, 3.161
369, 1007.45, 53.40, 48.0, 158, 8.180, 2.955, 3.071, 3.161
370, 1007.44, 53.42, 48.0, 159, 8.180, 2.980, 3.090, 3.212
371, 1007.43, 53.42, 48.0, 159, 8.180, 2.990, 3.084, 3.203
372, 1007.44, 53.43, 48.0, 159, 8.180, 2.948, 3.077, 3.125
373, 1007.44, 53.43, 48.0, 159, 8.180, 2.935, 2.977, 3.122
374, 1007.44, 53.45, 48.0, 159, 8.180, 2.916, 2.977, 3.093
375, 1007.44, 53.45, 48.0, 159, 8.180, 2.993, 3.090, 3.200
376, 1007.43, 53.47, 48.0, 159, 8.180, 2.951, 3.071, 3.154
377, 1007.44, 53.47, 48.0, 159, 8.180, 2.942, 3.071, 3.158
378, 1007.44, 53.49, 48.0, 159, 8.180, 2.974, 3.090, 3.203
379, 1007.42, 53.49, 48.0, 159, 8.180, 2.984, 3.090, 3.187
380, 1007.44, 53.49, 48.0, 159, 8.180, 2.955, 3.074, 3.174
381, 1007.43, 53.51, 48.0, 159, 8.180, 2.980, 3.084, 3.158
382, 1007.43, 53.51, 48.0, 159, 8.163, 2.961, 3.084, 3.142
383, 1007.42, 53.52, 48.0, 159, 8.180, 2.961, 3.080, 3.161
384, 1007.43, 53.52, 48.0, 159, 8.180, 2.968, 2.993, 3.209
385, 1007.43, 53.52, 48.0, 159, 8.163, 2.955, 2.987, 3.125
386, 1007.44, 53.54, 48.0, 159, 8.163, 2.926, 2.993, 3.103
387, 1007.43, 53.56, 48.0, 159, 8.180, 2.968, 2.993, 3.225
388, 1007.44, 53.56, 48.0, 159, 8.163, 2.955, 3.003, 3.174
389, 1007.43, 53.58, 48.0, 159, 8.163, 2.935, 2.990, 3.132
390, 1007.43, 53.58, 48.0, 159, 8.163, 2.948, 3.032, 3.109
391, 1007.41, 53.58, 48.0, 159, 8.163, 2.974, 3.064, 3.167
392, 1007.42, 53.60, 47.8, 159, 8.163, 2.980, 3.096, 3.209
393, 1007.41, 53.60, 47.8, 159, 8.163, 2.990, 3.096, 3.190
394, 1007.42, 53.61, 47.8, 159, 8.180, 2.980, 3.032, 3.238
395, 1007.43, 53.61, 47.8, 159, 8.163, 2.955, 3.006, 3.171
396, 1007.43, 53.63, 47.8, 159, 8.163, 2.935, 2.980, 3.119
397, 1007.41, 53.63, 47.8, 159, 8.163, 2.916, 2.971, 3.096
398, 1007.42, 53.65, 47.8, 159, 8.163, 2.955, 3.067, 3.161
399, 1007.42, 53.67, 47.8, 159, 8.163, 2.980, 3.096, 3.209
