Time, Pressure, T_Int F, T_Ext F, Altitude f, Vin, AD0, AD1, AD2, UTC, Lat, N/S, Lon, E/W, Speed mph, Heading, GPS Altitude f, Valid
547,994.54,39.41,31,515,7.736,2.407,2.594,2.523,132550,3509.6586, N,8051.5006, W,0.074,296.59,666,1
548,994.53,39.43,31,516,7.749,2.313,2.549,2.426,132551,3509.6586, N,8051.5006, W,0.326,296.59,666,1
549,994.53,39.43,30.8,516,7.693,2.136,2.365,2.358,132552,3509.6586, N,8051.5006, W,0.208,296.59,666,1
550,994.53,39.45,31,516,7.65,2.397,2.594,2.484,132553,3509.6586, N,8051.5005, W,0.27,296.59,666,1
551,994.54,39.47,31,515,7.68,2.358,2.542,2.449,132554,3509.6585, N,8051.5005, W,0.252,296.59,666,1
552,994.51,39.48,30.8,516,7.68,2.387,2.587,2.433,132555,3509.6585, N,8051.5006, W,0.064,296.59,666,1
553,994.52,39.48,30.8,516,7.65,2.313,2.529,2.439,132556,3509.6585, N,8051.5005, W,0.052,296.59,666,1
554,994.53,39.5,30.8,516,7.736,2.313,2.523,2.433,132557,3509.6585, N,8051.5005, W,0.086,296.59,666,1
555,994.52,39.52,30.8,516,7.736,2.445,2.626,2.516,132558,3509.6586, N,8051.5006, W,0.234,296.59,666,1
556,994.51,39.52,30.8,516,7.736,2.394,2.613,2.51,132559,3509.6587, N,8051.5006, W,0.186,296.59,666,1
557,994.52,39.52,30.6,516,7.706,2.355,2.555,2.475,132600,3509.6587, N,8051.5006, W,0.208,296.59,666,1
558,994.52,39.54,30.6,516,7.663,2.404,2.62,2.513,132601,3509.6587, N,8051.5006, W,0.264,296.59,662,1
559,994.52,39.56,30.6,516,7.706,2.329,2.558,2.475,132602,3509.6587, N,8051.5005, W,0.13,296.59,662,1
560,994.51,39.56,30.6,516,7.736,2.346,2.562,2.478,132603,3509.6588, N,8051.5006, W,0.372,296.59,662,1
561,994.51,39.57,30.6,516,7.736,2.452,2.642,2.539,132604,3509.6588, N,8051.5007, W,0.214,296.59,662,1
562,994.52,39.57,30.6,516,7.736,2.426,2.658,2.523,132605,3509.6588, N,8051.5008, W,0.056,296.59,662,1
563,994.51,39.59,30.6,516,7.736,2.4,2.603,2.516,132606,3509.6589, N,8051.5009, W,0.22,296.59,659,1
564,994.51,39.61,30.6,516,7.736,2.42,2.639,2.529,132607,3509.6589, N,8051.5009, W,0.262,296.59,659,1
565,994.5,39.61,30.6,516,7.736,2.346,2.555,2.484,132608,3509.659, N,8051.501, W,0.226,296.59,659,1
566,994.5,39.63,30.6,516,7.736,2.442,2.629,2.545,132609,3509.6592, N,8051.501, W,0.074,296.59,659,1
567,994.5,39.65,30.6,516,7.736,2.362,2.6,2.497,132610,3509.6592, N,8051.5009, W,0.148,296.59,659,1
568,994.5,39.65,30.6,516,7.65,2.387,2.587,2.513,132611,3509.6592, N,8051.5009, W,0.042,296.59,659,1
569,994.5,39.66,30.6,516,7.719,2.397,2.613,2.513,132612,3509.6592, N,8051.5008, W,0.14,296.59,659,1
570,994.5,39.66,30.6,516,7.736,2.397,2.594,2.507,132613,3509.6592, N,8051.5008, W,0.12,296.59,659,1
571,994.5,39.68,30.4,516,7.736,2.4,2.597,2.52,132614,3509.6592, N,8051.5008, W,0.168,296.59,659,1
572,994.5,39.7,30.6,516,7.736,2.491,2.729,2.562,132615,3509.6592, N,8051.501, W,0.432,296.59,659,1
573,994.5,39.72,30.4,516,7.736,2.445,2.658,2.555,132616,3509.6592, N,8051.5009, W,0.204,296.59,656,1
574,994.49,39.72,30.4,517,7.736,2.404,2.652,2.52,132617,3509.6591, N,8051.501, W,0.14,296.59,656,1
575,994.49,39.74,30.4,517,7.719,2.404,2.6,2.523,132618,3509.6591, N,8051.5011, W,0.352,296.59,656,1
576,994.49,39.75,30.4,517,7.706,2.407,2.616,2.526,132619,3509.6592, N,8051.501, W,0.394,296.59,656,1
577,994.48,39.74,30.4,517,7.706,2.394,2.62,2.523,132620,3509.6592, N,8051.5009, W,0.116,296.59,656,1
578,994.49,39.77,30.4,517,7.736,2.426,2.645,2.555,132621,3509.6591, N,8051.5009, W,0.862,227.7,656,1
579,994.48,39.77,30.2,517,7.736,2.449,2.69,2.574,132622,3509.6591, N,8051.5009, W,0.26,227.7,659,1
580,994.49,39.79,30.2,517,7.706,2.394,2.62,2.529,132623,3509.6591, N,8051.5009, W,0.154,227.7,659,1
581,994.49,39.81,30.2,517,7.706,2.426,2.629,2.536,132624,3509.6591, N,8051.5009, W,0.088,227.7,659,1
582,994.49,39.81,30.2,517,7.736,2.384,2.581,2.355,132625,3509.6591, N,8051.5009, W,0.18,227.7,659,1
583,994.5,39.81,30.2,516,7.65,2.407,2.607,2.523,132626,3509.659, N,8051.501, W,0.422,227.7,659,1
584,994.49,39.84,30.2,517,7.706,2.413,2.613,2.536,132627,3509.659, N,8051.5011, W,0.344,227.7,659,1
585,994.47,39.84,30.1,517,7.663,2.371,2.607,2.5,132628,3509.659, N,8051.5012, W,0.08,227.7,659,1
586,994.49,39.86,30.1,517,7.719,2.371,2.552,2.5,132629,3509.6592, N,8051.5011, W,0.18,227.7,659,1
587,994.47,39.86,30.1,517,7.706,2.391,2.639,2.5,132630,3509.6591, N,8051.5011, W,0.132,227.7,659,1
588,994.49,39.88,30.1,517,7.736,2.41,2.597,2.536,132631,3509.6591, N,8051.5011, W,0.408,227.7,659,1
589,994.48,39.9,30.1,517,7.736,2.413,2.658,2.529,132632,3509.659, N,8051.5011, W,0.324,227.7,659,1
590,994.48,39.92,30.1,517,7.736,2.371,2.565,2.497,132633,3509.659, N,8051.5011, W,0.092,227.7,659,1
591,994.46,39.92,29.9,518,7.693,2.42,2.642,2.552,132634,3509.659, N,8051.5011, W,0.162,227.7,659,1
592,994.47,39.92,30.1,517,7.736,2.349,2.578,2.507,132635,3509.659, N,8051.501, W,0.386,227.7,659,1
593,994.48,39.93,29.9,517,7.736,2.416,2.632,2.542,132636,3509.6591, N,8051.501, W,0.158,227.7,662,1
594,994.48,39.95,29.9,517,7.736,2.384,2.607,2.523,132637,3509.6592, N,8051.501, W,0.158,227.7,659,1
595,994.47,39.97,29.7,517,7.693,2.381,2.571,2.491,132638,3509.6592, N,8051.5009, W,0.092,227.7,659,1
596,994.42,39.97,29.7,519,7.719,2.381,2.6,2.516,132639,3509.6592, N,8051.5009, W,0.298,227.7,659,1
597,994.42,39.99,29.9,519,7.706,2.368,2.565,2.491,132640,3509.6592, N,8051.5011, W,0.196,227.7,659,1
598,994.42,40.01,29.9,519,7.719,2.452,2.642,2.549,132641,3509.6593, N,8051.5011, W,0.4,227.7,659,1
599,994.41,40.02,29.9,519,7.706,2.371,2.626,2.51,132642,3509.6593, N,8051.501, W,0.114,227.7,659,1
600,994.41,40.02,29.9,519,7.68,2.439,2.632,2.555,132643,3509.6593, N,8051.501, W,0.27,227.7,659,1
601,994.42,40.04,29.9,519,7.65,2.387,2.639,2.52,132644,3509.6592, N,8051.501, W,0.162,227.7,659,1
602,994.4,40.06,29.7,519,7.68,2.329,2.555,2.478,132645,3509.6591, N,8051.501, W,0.05,227.7,659,1
603,994.4,40.06,29.9,519,7.736,2.504,2.723,2.578,132646,3509.659, N,8051.5012, W,0.59,227.7,659,1
604,994.4,40.06,29.7,519,7.736,2.352,2.571,2.494,132647,3509.6588, N,8051.5016, W,0.246,227.7,662,1
605,994.41,40.08,29.7,519,7.736,2.317,2.536,2.478,132648,3509.6587, N,8051.5017, W,0.254,227.7,666,1
606,994.41,40.1,29.7,519,7.719,2.352,2.542,2.484,132649,3509.6587, N,8051.5016, W,0.098,227.7,666,1
607,994.4,40.11,29.7,519,7.719,2.407,2.645,2.516,132650,3509.6587, N,8051.5016, W,0.23,227.7,666,1
608,994.4,40.11,29.7,519,7.706,2.426,2.645,2.542,132651,3509.6587, N,8051.5016, W,0.236,227.7,666,1
609,994.39,40.11,29.7,520,7.719,2.362,2.584,2.497,132652,3509.6586, N,8051.5016, W,0.378,227.7,666,1
610,994.41,40.13,29.7,519,7.719,2.407,2.613,2.523,132653,3509.6586, N,8051.5016, W,0.266,227.7,666,1
611,994.4,40.15,29.7,519,7.736,2.252,2.478,2.4,132654,3509.6586, N,8051.5017, W,0.336,227.7,666,1
612,994.39,40.17,29.7,520,7.693,2.516,2.729,2.587,132655,3509.6586, N,8051.5018, W,0.098,227.7,666,1
613,994.4,40.17,29.9,519,7.736,2.458,2.678,2.568,132656,3509.6587, N,8051.502, W,0.542,227.7,666,1
614,994.4,40.19,29.9,519,7.693,2.384,2.587,2.513,132657,3509.6587, N,8051.5021, W,0.298,227.7,666,1
615,994.39,40.2,29.9,520,7.736,2.507,2.707,2.568,132658,3509.6587, N,8051.5021, W,0.178,227.7,666,1
616,994.4,40.2,29.9,519,7.663,2.439,2.674,2.565,132659,3509.6587, N,8051.502, W,0.19,227.7,666,1
617,994.39,40.22,29.9,520,7.719,2.449,2.671,2.571,132700,3509.6587, N,8051.502, W,0.336,227.7,669,1
618,994.4,40.22,29.9,519,7.706,2.333,2.568,2.491,132701,3509.6587, N,8051.5022, W,0.072,227.7,669,1
619,994.39,40.24,29.9,520,7.706,2.387,2.594,2.497,132702,3509.6587, N,8051.5021, W,0.142,227.7,669,1
620,994.38,40.26,29.9,520,7.68,2.381,2.613,2.523,132703,3509.6587, N,8051.5021, W,0.27,227.7,672,1
621,994.4,40.26,29.9,519,7.719,2.346,2.549,2.475,132704,3509.6588, N,8051.5022, W,0.066,227.7,669,1
622,994.39,40.28,29.9,520,7.68,2.352,2.591,2.51,132705,3509.6589, N,8051.5023, W,0.126,227.7,669,1
623,994.38,40.29,29.9,520,7.693,2.462,2.652,2.536,132706,3509.6589, N,8051.5024, W,0.104,227.7,669,1
624,994.38,40.31,29.7,520,7.706,2.42,2.639,2.536,132707,3509.659, N,8051.5025, W,0.01,227.7,669,1
625,994.38,40.31,29.7,520,7.68,2.358,2.568,2.491,132708,3509.659, N,8051.5025, W,0.444,227.7,666,1
626,994.39,40.33,29.7,520,7.736,2.381,2.581,2.51,132709,3509.659, N,8051.5027, W,0.4,227.7,669,1
627,994.37,40.33,29.7,520,7.719,2.475,2.7,2.562,132710,3509.6591, N,8051.5026, W,0.322,227.7,669,1
628,994.39,40.35,29.7,520,7.706,2.478,2.69,2.568,132711,3509.659, N,8051.5026, W,0.446,227.7,669,1
629,994.38,40.37,29.7,520,7.706,2.416,2.62,2.536,132712,3509.6591, N,8051.5028, W,0.356,227.7,669,1
630,994.38,40.37,29.7,520,7.719,2.407,2.616,2.539,132713,3509.6591, N,8051.5027, W,0.252,227.7,669,1
631,994.37,40.38,29.7,520,7.736,2.407,2.639,2.529,132714,3509.6591, N,8051.5027, W,0.224,227.7,669,1
632,994.37,40.4,29.7,520,7.65,2.433,2.658,2.555,132715,3509.659, N,8051.5027, W,0.354,227.7,669,1
633,994.37,40.4,29.7,520,7.706,2.429,2.626,2.542,132716,3509.659, N,8051.5027, W,0.052,227.7,669,1
634,994.37,40.42,29.7,520,7.736,2.387,2.587,2.513,132717,3509.6591, N,8051.5026, W,0.374,227.7,666,1
635,994.38,40.44,29.7,520,7.706,2.416,2.639,2.533,132718,3509.6591, N,8051.5026, W,0.144,227.7,666,1
636,994.38,40.44,29.7,520,7.706,2.371,2.591,2.504,132719,3509.6591, N,8051.5027, W,0.2,227.7,669,1
637,994.37,40.46,29.7,520,7.706,2.426,2.652,2.552,132720,3509.6592, N,8051.5028, W,0.1,227.7,669,1
638,994.36,40.46,29.5,520,7.736,2.439,2.597,2.523,132721,3509.6592, N,8051.5027, W,0.332,227.7,669,1
639,994.37,40.47,29.5,520,7.736,2.433,2.661,2.549,132722,3509.6592, N,8051.5026, W,0.184,227.7,672,1
640,994.37,40.49,29.3,520,7.706,2.391,2.607,2.52,132723,3509.6593, N,8051.5026, W,0.156,227.7,675,1
641,994.36,40.47,29.3,520,7.68,2.423,2.661,2.562,132724,3509.6593, N,8051.5026, W,0.066,227.7,672,1
642,994.36,40.51,29.3,520,7.736,2.371,2.578,2.51,132725,3509.6593, N,8051.5027, W,0.194,227.7,672,1
643,994.36,40.53,29.3,520,7.706,2.404,2.626,2.516,132726,3509.6593, N,8051.5027, W,0.158,227.7,672,1
644,994.36,40.55,29.3,520,7.719,2.397,2.616,2.513,132727,3509.6593, N,8051.5028, W,0.14,227.7,672,1
645,994.35,40.55,29.3,521,7.693,2.426,2.645,2.562,132728,3509.6593, N,8051.5029, W,0.206,227.7,672,1
646,994.35,40.56,29.3,521,7.719,2.439,2.652,2.536,132729,3509.6593, N,8051.503, W,0.17,227.7,675,1
647,994.35,40.56,29.3,521,7.736,2.381,2.626,2.523,132730,3509.6592, N,8051.503, W,0.184,227.7,675,1
648,994.35,40.58,29.3,521,7.736,2.426,2.639,2.529,132731,3509.6592, N,8051.503, W,0.132,227.7,675,1
649,994.35,40.6,29.3,521,7.68,2.304,2.523,2.484,132732,3509.6592, N,8051.503, W,0.21,227.7,675,1
650,994.35,40.62,29.3,521,7.68,2.465,2.678,2.552,132733,3509.6592, N,8051.503, W,0.146,227.7,675,1
651,994.34,40.62,29.2,521,7.719,2.397,2.623,2.513,132733,3509.6592, N,8051.503, W,0.146,227.7,675,1
652,994.36,40.64,29.3,520,7.706,2.384,2.6,2.536,132734,3509.6592, N,8051.503, W,0.312,227.7,672,1
653,994.34,40.65,29.2,521,7.719,2.465,2.658,2.529,132735,3509.6592, N,8051.503, W,0.15,227.7,672,1
654,994.34,40.65,29.2,521,7.68,2.191,2.41,2.387,132736,3509.6592, N,8051.503, W,0.454,227.7,672,1
655,994.35,40.67,29.3,521,7.68,2.136,2.317,2.329,132737,3509.6591, N,8051.5029, W,0.266,227.7,672,1
656,994.33,40.67,29.3,521,7.719,2.168,2.381,2.362,132738,3509.6591, N,8051.5028, W,0.118,227.7,669,1
657,994.35,40.69,29.3,521,7.706,2.31,2.516,2.42,132739,3509.659, N,8051.5028, W,0.15,227.7,669,1
658,994.36,40.71,29.3,520,7.68,2.152,2.439,2.387,132740,3509.659, N,8051.5028, W,0.204,227.7,669,1
659,994.33,40.73,29.3,521,7.706,2.491,2.661,2.533,132741,3509.659, N,8051.5027, W,0.448,227.7,669,1
660,994.33,40.73,29.3,521,7.736,2.852,3.055,2.787,132742,3509.6589, N,8051.5027, W,0.458,227.7,669,1
661,994.34,40.74,29.3,521,7.663,2.645,2.877,2.69,132743,3509.6588, N,8051.5028, W,0.2,227.7,669,1
662,994.34,40.76,29.3,521,7.663,2.165,2.381,2.413,132744,3509.6587, N,8051.5028, W,0.384,227.7,666,1
663,994.33,40.76,29.5,521,7.68,2.233,2.452,2.439,132745,3509.6587, N,8051.5027, W,0.242,227.7,666,1
664,994.32,40.76,29.7,521,7.706,2.233,2.484,2.442,132746,3509.6586, N,8051.5026, W,0.856,227.7,666,1
665,994.34,40.8,29.7,521,7.706,2.323,2.565,2.484,132747,3509.6585, N,8051.5027, W,0.196,227.7,666,1
666,994.34,40.8,29.7,521,7.706,2.684,2.913,2.707,132748,3509.6587, N,8051.5028, W,0.222,227.7,666,1
667,994.35,40.82,29.7,521,7.663,2.478,2.736,2.581,132749,3509.6591, N,8051.5032, W,0.652,227.7,662,1
668,994.34,40.82,29.7,521,7.719,2.645,2.881,2.697,132750,3509.6592, N,8051.5032, W,0.302,227.7,659,1
669,994.34,40.83,29.7,521,7.706,2.475,2.703,2.591,132751,3509.6594, N,8051.5034, W,0.528,227.7,659,1
670,994.33,40.85,29.9,521,7.706,2.475,2.655,2.562,132752,3509.6594, N,8051.5035, W,0.532,227.7,659,1
671,994.34,40.87,29.9,521,7.637,2.323,2.562,2.484,132753,3509.6595, N,8051.5035, W,0.318,227.7,659,1
672,994.33,40.87,29.9,521,7.706,2.452,2.639,2.552,132754,3509.6596, N,8051.5036, W,0.098,227.7,656,1
673,994.32,40.87,29.9,521,7.706,2.478,2.687,2.555,132755,3509.6595, N,8051.5036, W,0.282,227.7,659,1
674,994.32,40.91,29.9,521,7.693,2.371,2.594,2.523,132756,3509.6593, N,8051.5035, W,0.094,227.7,662,1
675,994.33,40.92,29.7,521,7.706,2.494,2.723,2.6,132757,3509.6592, N,8051.5035, W,0.236,227.7,666,1
676,994.33,40.92,29.7,521,7.706,2.346,2.555,2.491,132758,3509.6591, N,8051.5035, W,0.162,227.7,666,1
677,994.34,40.92,29.7,521,7.706,2.268,2.478,2.436,132759,3509.659, N,8051.5036, W,0.108,227.7,666,1
678,994.32,40.96,29.7,521,7.706,2.375,2.587,2.504,132800,3509.6589, N,8051.5037, W,0.242,227.7,666,1
679,994.31,40.96,29.7,522,7.706,2.381,2.6,2.5,132801,3509.6588, N,8051.5036, W,0.098,227.7,666,1
680,994.33,40.98,29.7,521,7.706,2.346,2.574,2.484,132802,3509.6587, N,8051.5036, W,0.058,227.7,662,1
681,994.32,40.98,29.7,521,7.624,2.349,2.581,2.484,132803,3509.6586, N,8051.5035, W,0.068,227.7,662,1
682,994.31,41,29.7,522,7.65,2.433,2.626,2.536,132804,3509.6585, N,8051.5034, W,0.28,227.7,662,1
683,994.33,41.01,29.7,521,7.65,2.545,2.774,2.626,132805,3509.6584, N,8051.5033, W,0.394,227.7,662,1
684,994.32,41.01,29.7,521,7.706,2.41,2.632,2.536,132806,3509.6584, N,8051.5032, W,0.226,227.7,662,1
685,994.31,41.03,30.1,522,7.68,2.465,2.71,2.568,132807,3509.6583, N,8051.5032, W,0.28,227.7,662,1
686,994.31,41.03,30.1,522,7.693,2.362,2.584,2.513,132808,3509.6583, N,8051.5032, W,0.178,227.7,662,1
687,994.33,41.05,30.2,521,7.706,2.4,2.597,2.504,132809,3509.6584, N,8051.5032, W,0.546,227.7,659,1
688,994.32,41.07,30.2,521,7.706,2.41,2.645,2.542,132810,3509.6584, N,8051.5033, W,0.556,227.7,659,1
689,994.33,41.07,30.1,521,7.693,2.487,2.71,2.581,132811,3509.6583, N,8051.5035, W,0.146,227.7,659,1
690,994.31,41.07,30.1,522,7.68,2.42,2.632,2.536,132812,3509.6583, N,8051.5035, W,0.142,227.7,659,1
691,994.31,41.1,30.1,522,7.706,2.484,2.697,2.578,132813,3509.6583, N,8051.5035, W,0.088,227.7,659,1
692,994.31,41.1,30.1,522,7.706,2.487,2.723,2.594,132814,3509.6584, N,8051.5034, W,0.154,227.7,656,1
693,994.31,41.12,30.1,522,7.706,2.387,2.587,2.51,132815,3509.6583, N,8051.5033, W,0.206,227.7,656,1
694,994.31,41.12,30.1,522,7.706,2.445,2.697,2.581,132816,3509.6583, N,8051.5032, W,0.482,227.7,656,1
695,994.31,41.14,30.1,522,7.706,2.323,2.539,2.484,132817,3509.6583, N,8051.5031, W,0.058,227.7,656,1
696,994.31,41.16,30.2,522,7.706,2.371,2.578,2.497,132818,3509.6584, N,8051.5031, W,0.276,227.7,652,1
697,994.31,41.18,30.2,522,7.706,2.439,2.674,2.565,132819,3509.6584, N,8051.503, W,0.242,227.7,652,1
698,994.34,41.18,30.1,521,7.663,2.426,2.658,2.555,132820,3509.6585, N,8051.5028, W,1.402,359.45,656,1
699,994.34,41.19,30.1,521,7.624,2.497,2.71,2.591,132821,3509.6587, N,8051.5026, W,0.398,359.45,656,1
700,994.36,41.19,30.1,520,7.65,2.475,2.697,2.594,132822,3509.6588, N,8051.5024, W,0.19,359.45,659,1
701,994.36,41.21,30.1,520,7.706,2.439,2.684,2.555,132823,3509.6589, N,8051.5021, W,0.092,359.45,659,1
702,994.35,41.21,30.1,521,7.706,2.491,2.729,2.594,132824,3509.6589, N,8051.5018, W,0.142,359.45,659,1
703,994.36,41.23,30.1,520,7.736,2.439,2.678,2.565,132825,3509.659, N,8051.5016, W,0.046,359.45,659,1
704,994.35,41.25,30.1,521,7.706,2.465,2.694,2.594,132826,3509.6591, N,8051.5014, W,0.046,359.45,659,1
705,994.35,41.25,30.1,521,7.706,2.491,2.729,2.613,132827,3509.659, N,8051.5013, W,0.33,359.45,659,1
706,994.36,41.27,30.1,520,7.68,2.416,2.645,2.562,132828,3509.6591, N,8051.5011, W,0.118,359.45,659,1
707,994.35,41.27,30.1,521,7.68,2.462,2.684,2.6,132829,3509.6591, N,8051.5011, W,0.022,359.45,659,1
708,994.36,41.28,30.1,520,7.706,2.458,2.69,2.587,132830,3509.6591, N,8051.501, W,0.018,359.45,659,1
709,994.35,41.3,30.1,521,7.706,2.484,2.719,2.607,132831,3509.6591, N,8051.5009, W,0.286,359.45,659,1
710,994.35,41.32,30.1,521,7.706,2.384,2.613,2.523,132832,3509.6591, N,8051.5009, W,0.092,359.45,659,1
711,994.34,41.32,30.1,521,7.706,2.465,2.697,2.594,132833,3509.6592, N,8051.5009, W,0.11,359.45,659,1
712,994.36,41.34,30.1,520,7.706,2.468,2.697,2.603,132834,3509.6592, N,8051.5009, W,0.39,359.45,659,1
713,994.35,41.36,30.1,521,7.706,2.381,2.61,2.523,132835,3509.6592, N,8051.5009, W,0.108,359.45,656,1
